dataset,classifier,resampling,balancing,threshold,fixed_threshold,train_size,train_size_class_0,train_size_class_1,test_size,test_size_class_0,test_size_class_1,feature,n_term,tp,fp,tn,fn,acc_class_0,acc_class_1,balanced_acc,precision,recall,fmeasure
Eclipse,knn,boot,unbalanced,60,64,8138,6091,2047,2712,2030,682,short_long_description,200,1785,578,245,104,0.7553956834532374,0.7020057306590258,0.7287007070561315,0.7553956834532374,0.9449444150344097,0.83960489181561615
Eclipse,knn,boot,custom,64,64,4094,2047,2047,1364,682,682,short_long_description,200,238,231,444,451,0.5074626865671642,0.4960893854748603,0.5017760360210123,0.5074626865671642,0.3454281567489115,0.4110535405872194
Eclipse,knn,boot,downsample,64,64,4094,2047,2047,1364,682,682,short_long_description,200,238,231,444,451,0.5074626865671642,0.4960893854748603,0.5017760360210123,0.5074626865671642,0.3454281567489115,0.4110535405872194
Eclipse,knn,boot,smote,64,64,12305,6164,6141,4100,2054,2046,short_long_description,200,572,134,1482,1912,0.8101983002832861,0.436652916912198,0.6234256085977421,0.8101983002832861,0.23027375201288244,0.3586206896551724
Eclipse,knn,boot,unbalanced,64,64,8211,6164,2047,2736,2054,682,short_long_description,200,1840,604,214,78,0.7528641571194763,0.7328767123287672,0.7428704347241217,0.7528641571194763,0.959332638164755,0.8436497019715726
Eclipse,knn,cv,custom,4,64,4094,2047,2047,1364,682,682,short_long_description,200,258,220,424,462,0.5397489539748954,0.4785553047404063,0.5091521293576509,0.5397489539748954,0.35833333333333334,0.43071786310517524
Eclipse,knn,cv,downsample,4,64,4094,2047,2047,1364,682,682,short_long_description,200,258,220,424,462,0.5397489539748954,0.4785553047404063,0.5091521293576509,0.5397489539748954,0.35833333333333334,0.43071786310517524
Eclipse,knn,cv,smote,4,64,5300,3253,2047,1766,1084,682,short_long_description,200,657,361,427,321,0.6453831041257367,0.570855614973262,0.6081193595494994,0.6453831041257367,0.6717791411042945,0.6583166332665331
Eclipse,knn,cv,unbalanced,4,64,5300,3253,2047,1766,1084,682,short_long_description,200,670,365,414,317,0.6473429951690821,0.5663474692202463,0.6068452321946642,0.6473429951690821,0.6788247213779128,0.6627101879327398
Eclipse,knn,cv,custom,8,64,4094,2047,2047,1364,682,682,short_long_description,200,293,235,389,447,0.5549242424242424,0.465311004784689,0.5101176236044658,0.5549242424242424,0.39594594594594595,0.46214511041009465
Eclipse,knn,cv,downsample,8,64,4094,2047,2047,1364,682,682,short_long_description,200,293,235,389,447,0.5549242424242424,0.465311004784689,0.5101176236044658,0.5549242424242424,0.39594594594594595,0.46214511041009465
Eclipse,knn,cv,smote,8,64,6063,4016,2047,2020,1338,682,short_long_description,200,1016,473,322,209,0.6823371390194761,0.6064030131826742,0.6443700761010751,0.6823371390194761,0.8293877551020408,0.748710390567428
Eclipse,knn,cv,unbalanced,8,64,6063,4016,2047,2020,1338,682,short_long_description,200,1006,480,332,202,0.676985195154778,0.6217228464419475,0.6493540207983628,0.676985195154778,0.8327814569536424,0.7468448403860432
Eclipse,knn,cv,custom,12,64,4094,2047,2047,1364,682,682,short_long_description,200,252,197,430,485,0.5612472160356348,0.46994535519125685,0.5155962856134458,0.5612472160356348,0.3419267299864315,0.42495784148397975
Eclipse,knn,cv,downsample,12,64,4094,2047,2047,1364,682,682,short_long_description,200,252,197,430,485,0.5612472160356348,0.46994535519125685,0.5155962856134458,0.5612472160356348,0.3419267299864315,0.42495784148397975
Eclipse,knn,cv,smote,12,64,8437,4343,4094,2811,1447,1364,short_long_description,200,436,158,1011,1206,0.734006734006734,0.456021650879567,0.5950141924431505,0.734006734006734,0.26552984165651644,0.38998211091234347
Eclipse,knn,cv,unbalanced,12,64,6390,4343,2047,2129,1447,682,short_long_description,200,1157,494,290,188,0.7007874015748031,0.606694560669456,0.6537409811221295,0.7007874015748031,0.8602230483271376,0.7723631508678238
Eclipse,knn,cv,custom,16,64,4094,2047,2047,1364,682,682,short_long_description,200,244,203,438,479,0.5458612975391499,0.4776444929116685,0.5117528952254092,0.5458612975391499,0.33748271092669435,0.4170940170940171
Eclipse,knn,cv,downsample,16,64,4094,2047,2047,1364,682,682,short_long_description,200,244,203,438,479,0.5458612975391499,0.4776444929116685,0.5117528952254092,0.5458612975391499,0.33748271092669435,0.4170940170940171
